,L-1,L-2,L-3,L-4,L-5,L-6,L-7,L-8,L-9,L-10,L-11,L-12,L-13,L-14,L-15,L-16,L-17,L-18,L-19,L-20,L-21,L-22,L-23,L-24,L-25,L-26,L-27,L-28,L-29,L-30,L-31,L-32,L-33,L-34,L-35,L-36,L-37,L-38,L-39,L-40,L-41,L-42,L-43,L-44,L-45,L-46,L-47,L-48,L-49,L-50,L-51,L-52,L-53,L-54,L-55,L-56,L-57,L-58,L-59,L-60,L-61,L-62,L-63,L-64,L-65,L-66,L-67,L-68,L-69,L-70,L-76,L-77,L-78,L-79,L-80,L-81,L-82,L-83,L-84
Distance COOH C-C,5.770941669856056,4.878304767308414,5.692341363245707,10.091006826596493,9.934736110311386,10.076045623491936,10.087568248386178,10.079384612632111,10.09246228172377,10.056849746676091,10.115249645247811,10.241489024446055,10.14899810630074,6.06918355726905,12.371387115487334,10.11491873233799,10.01841677154699,10.102680877176118,10.130040269349871,10.0872244860287,10.18357918237208,10.08268536226674,10.13819411062848,10.076044578055518,10.569831137092068,7.986533084230417,12.036234403741812,10.26405139084694,12.424483073515976,12.65098677577449,14.42083893962071,14.342094157837932,14.408323831778178,14.409757827837112,14.417568541425076,14.417983897967462,14.403213157730256,14.412380565465028,14.422260318141294,14.423782712967396,14.428739109177142,14.447721043752503,14.427271059886689,14.406543925013905,14.423304433560189,14.411337784602267,14.48983850947694,14.413004080545315,14.446448432804306,14.5132534641808,14.406198896780024,14.36248541158072,14.1181147878227,14.416383130074893,15.227512273728564,18.75347521279107,18.58176001898176,18.517894685665244,18.732126721901302,18.74732294204231,18.74198948800604,18.55879555009077,18.81042858578807,18.516912069686292,18.486515240018036,18.64532777807172,18.567097142347777,18.16075902389495,18.548542465355087,18.730785643052837,19.538690554863752,19.56341900000156,23.041293285506978,22.789126065673532,22.759929014611053,22.8089573489181,22.73671303662328,22.81094673171412,22.855791296978584
Distance C-C to Center,1.264083982549494e-06,0.3752385177275237,4.792265567145811e-05,0.0411952332525278,0.1387914676332125,0.4370028962778806,0.5497011820734421,0.5148914591664092,0.1672700198786437,0.0188723039150413,0.0510270639394968,0.102102892079054,0.9440076943227016,1.4641312475359534,0.3958195770464908,0.0582186304058058,0.1231300543694357,0.1675869049992366,0.0701504052787285,0.3738183562936727,0.2242006991010705,0.2142046558831812,0.0736713781438985,0.4370030074883252,2.51491398386875e-06,0.1433785640501803,0.1267944351707856,1.3555705294505629,9.723216857902388e-06,9.364761555883004e-05,0.1123636246669374,0.1221376951633668,0.4177306573867514,0.4049399926285774,0.236719788672207,0.4765454821557567,0.3506998153556629,0.0979516837209229,0.0209445160295576,0.101829413380382,8.011930540554079e-05,0.1124425020676053,0.1481520354742499,0.1893067836853111,0.0735930370265566,8.435226543428888e-06,0.3871938855571686,0.4551022745558274,3.3017733177396906e-05,0.132111269996656,0.7360933597228847,1.3154979514340484,0.1182586753015514,0.281794443213885,0.000233129042812,0.0951750823760907,0.1021530894915651,0.0408224198193263,0.3474524741557301,0.2602033093464294,0.0909493458640917,0.440881214230271,0.0614611143425578,2.1350482905693907e-06,0.0995292955515392,0.1689036590005531,0.5500505108104783,0.1024911070965875,0.8123920862719153,0.0001314012670606,0.0001863316574612,0.0995104276319427,0.1824336673260553,0.0978885218996991,0.4437079927217334,0.0002088497242206,0.144202005750229,0.2387158167519688,0.0002354079638615
Distance Center to C-C Center Plane,8.38448373176948e-08,1.0417499731562708e-07,1.27203889756597e-07,1.452549756718747e-07,0.0046196452899554,0.0020882536132156,3.6492636490638425e-07,1.2467205919833118e-06,0.000953223036924,5.49742212789782e-06,6.642711717163089e-06,2.385903753251861e-06,1.7520115919946514e-06,0.0546450057385271,7.914992717750031e-07,5.335478671855244e-07,3.48434150435506e-07,0.0052490942547208,0.0074372763635065,0.0454042782373965,1.5573807668516844e-06,0.2545763632741725,0.0615224902088545,0.0020881505907554,2.468637800635038e-07,0.0207974049391612,0.0093940753214929,5.945544643181564e-07,4.600342976037383e-06,4.16048743445719e-06,1.741697718446184e-07,0.0274326352021835,0.1138871180934189,0.1133266984257524,0.0761203390376101,0.0544326689587059,0.13742033405084,1.7951775247352707e-05,5.366226184528791e-06,0.0015108675949307,4.732851512690783e-07,0.0010600956182209,0.0332783509129009,0.0008428374012486,0.0539694292446519,6.94660464303482e-07,1.2698814681961618e-07,0.0016104833178108,8.355698404763111e-06,3.192195583385041e-07,7.58198259274386e-06,0.0282509678441136,1.022929714452176e-07,0.0795331060779072,9.34447024106537e-06,1.202941987832962e-05,0.0016124340785464,1.2505069929555058e-05,0.0285350773010012,0.0289715563270244,9.23308099509947e-06,0.0023339334130113,1.030490648098857e-07,8.658102969321167e-10,0.0039019320288238,0.0001979862573183,1.4130803451437832e-05,0.0028833860882705,0.0013675661686525,8.083577296157108e-06,6.152293007015134e-07,3.4494910840249626e-07,1.892996927172236e-05,1.7763830093511025e-06,0.0020520161191499,4.1389362019181005e-06,8.785210817867681e-07,0.0122513780743973,2.4355530723190744e-06
COOH C-C Gyration Radius,1.105140553229287,1.1961110625461011,1.18390187601631,1.0954993205132582,1.0820081220670343,1.391561833882949,2.1872532631730035,1.414266795815926,1.3524229893553783,1.337473560327242,1.69320854574232,1.5219160865545025,2.113859693809388,2.774526454480727,2.4441332969960787,1.569312675069739,1.4847915161084038,1.2622063625236093,1.3518577063632686,1.2716815577891087,1.3858240765110017,1.2419897888979337,1.2559557451821213,1.3915620020923734,1.7375833307557422,1.2048519427104194,1.0614091894013415,2.5910700333543875,1.0710977605364775,1.042366388910804,1.0911482245405837,1.0968374300862913,1.252811197127205,1.7993568319140183,1.2285267666852375,1.4515906535434846,1.548542975343686,1.3305416326741166,2.018492469241252,1.6397135353570251,1.5948964796873504,1.3031960462648025,1.303464397042352,1.2960748485573157,1.2868772423346977,1.468915525494415,1.7408260643632874,1.366051370561585,1.876239312313405,1.2373177186340525,1.7500784004834309,1.9962242106564725,1.0719590722581247,1.462133616295506,0.9947356410538126,1.08811493487363,1.0818473412379876,1.0818647923553957,1.5460013325256543,1.214005910307851,1.2987671340395917,1.2873648886542537,2.0992304873236223,1.4945331386133327,1.898809117867288,1.2220733439877784,1.3271243216437818,1.4620810932845818,1.5418267895014286,2.005439828328601,1.0150276987484914,1.7751564401655724,1.490608418976502,2.2185905792341085,2.2577785225275924,2.26482432697111,2.284005400962488,2.2620522336338684,1.561741708532729
COO- O gas Mulliken charge,-0.49024425,-0.4859647499999999,-0.49115925,-0.4832587499999999,-0.4792265,-0.4829639999999999,-0.47443975,-0.48381625,-0.47797575,-0.4980462499999999,-0.36208875,-0.4507465,-0.47873925,-0.47693175,-0.480302,-0.477286,-0.4816535,-0.48063425,-0.46784125,-0.4838464999999999,-0.4653169999999999,-0.4840764999999999,-0.476433,-0.48296425,-0.4806705,-0.486062,-0.4780542499999999,-0.4776815,-0.4817702499999999,-0.479441,-0.47915925,-0.4778829999999999,-0.4794912499999999,-0.47716075,-0.47957625,-0.480049,-0.476852,-0.47929725,-0.47497575,-0.4808145,-0.4777595,-0.47706175,-0.47822275,-0.4921055,-0.48733125,-0.479102,-0.4778174999999999,-0.4793904999999999,-0.47741725,-0.4789837499999999,-0.47836825,-0.4801545,-0.4736059999999999,-0.47643925,-0.4759219999999999,-0.47695675,-0.47539725,-0.3981854999999999,-0.4747167499999999,-0.477291,-0.47709075,-0.47498175,-0.47532325,-0.474852,-0.4749644999999999,-0.3978035,-0.475811,-0.47366775,-0.4002354999999999,-0.475224,-0.47474725,-0.47427,-0.47633025,-0.47390625,-0.47436675,-0.4748945,-0.474251,-0.47291175,-0.474685
SolFE dmf 0 eV,-10.991150054323953,-11.76855298015289,-13.873506537405774,-14.796021354501136,-13.504817251232453,-14.497510071727447,-12.773970411508344,-19.122693306417204,-16.641715519945137,-15.047345278202556,-15.53410273604095,-17.84271783416625,-16.600057135219686,-15.711153538082726,-20.97567158669699,-15.480457690544426,-16.452284609316848,-13.980437066755258,-14.765072651673108,-17.061305758659728,-16.657455307315104,-15.854904991574584,-15.535715432139114,-14.497496266616508,-18.52132399159018,-13.4454003853607,-13.791313635068946,-14.52298000070732,-17.005603741155937,-15.550106704467908,-18.42301228712313,-18.71677396062296,-18.286046079476364,-17.46131837007124,-20.476156260236166,-18.91281378734857,-15.850379402632823,-18.11298560188152,-16.173797112191096,-19.253864476224408,-19.180571522098035,-17.043077901704237,-21.774094153544866,-20.699398565571755,-21.971646275022067,-17.33250976842828,-18.74312930356245,-20.7407952795038,-20.67451159178745,-19.52998689515516,-19.300733061041683,-18.305555308237672,-16.842865145532414,-20.36299143731594,-16.034356012241915,-22.034735946101137,-21.387166342581622,-168.3494159989059,-24.435845747822896,-24.14963299781084,-21.75300360401161,-25.96714137867093,-26.833981161238626,-30.14069820009172,-28.955943954875693,-180.29210124036763,-21.185146362986416,-28.710368633735925,-178.88908710423857,-26.996367724845182,-20.199374957592227,-23.548931979225017,-24.513405757490546,-35.06944227591157,-35.43150821374729,-35.667696012649685,-35.87452897941694,-38.12575218081474,-35.873606542358175
pKa1(Water),2.5477145682261666,2.24085873443266,3.719333876473696,3.5857068016493274,2.518538478803344,3.594076388469112,1.8491311767099552,4.0733908849193545,3.27416070404578,2.42,3.257683140030478,1.4671917552157994,4.500183813249534,2.910810692353106,3.645327029615554,3.424431541889527,3.22776649891005,2.9174975059575363,2.550176814170818,4.123547059397895,1.7851448063046012,5.150245251796472,1.853736550186889,3.593980254695013,2.523245943487499,3.190640869617009,3.001049325429511,3.721359689643276,4.163910197711955,3.2732058411114617,3.780869936946308,3.394520900979784,3.942727750534136,3.742679286691261,3.8,3.687570344967511,3.7773098544768113,4.129524870535753,3.629987728429661,3.803417572637675,3.494177588487034,3.502139633514035,3.649908339547772,5.440814743282493,3.4996687694812927,3.3163214016769667,3.680394605422352,3.958072108122751,3.564326912876183,3.611160671343775,5.820682184683454,4.554391393737612,2.7996832428234537,3.60244939978468,3.1593260515913086,3.845154830439362,3.7352826725013712,3.1454947693763056,3.6394349595543423,4.03850643221339,4.090496507255633,3.6506856373709367,5.535777688067276,2.73156234846616,2.654274051248413,3.913982651539724,4.092318122778843,2.7765697723288887,4.274918149652812,3.8056852128861016,3.401227729849434,3.3676499395852018,3.958108658520336,2.758539014320188,3.479730095515384,4.31414681022444,2.8898596156293546,3.340158412297262,3.709921866131563
pKa1(DMF),9.815103081829673,11.379638345788798,12.978518048254632,11.114831246467348,9.393029867085644,11.343480933377949,8.668722382770607,11.918555787284884,10.593269653904382,8.54,5.108166271115908,8.8393940052182,11.32316036997778,10.05339198457716,11.283579829003122,11.180145902764036,10.497039033842585,9.986764789898562,10.441749868177162,11.836922913989884,8.85504040411296,11.287436162912408,9.072301954231229,11.34220038673788,8.899259571015087,10.467366236585216,10.062513743280425,10.9478185732793,11.716641486602873,10.56055182705586,11.401575026704402,10.946171269122653,11.629824357793524,11.274997276621152,11.46,11.542412015674763,11.350100268091252,11.828019439479618,11.070804647655994,11.63079466325738,11.03501875162408,10.972293195472234,11.464861743804246,11.666750607849377,12.139852084376908,11.078521285503768,11.19609401753627,11.618191699236435,11.20103422565162,11.07891320957851,11.52079851930385,12.298721591859636,9.898326726343695,11.105039775991452,10.296560696920672,11.51002127258936,11.229414270886716,9.111903920171097,11.14106400663875,11.732258749907162,11.762727007717686,11.165911284389669,13.126400989779414,10.35870696459436,10.282596180904587,10.22502605710758,11.74455849343332,10.297650788654623,10.706877462803147,11.329760609144175,10.702716295436042,10.616297591449316,11.672725041851226,10.311909656087495,11.123833664679738,12.075836131348971,10.5155599377969,10.68133285971436,11.418250511856227
S(Trans),41.229,41.044,41.663,42.353,42.377,42.68,43.682,42.702,42.723,42.723,43.052,43.129,43.384,42.679,43.997,42.974,42.892,42.567,42.766,42.532,42.766,42.532,42.567,42.68,43.366,42.014,42.679,43.052,42.657,42.635,43.167,43.177,43.296,43.745,43.305,43.436,43.529,43.419,44.228,43.683,43.586,43.487,43.453,43.436,43.453,43.651,43.666,43.436,43.982,43.384,43.603,43.881,43.204,43.419,42.892,43.806,43.821,43.836,44.128,43.918,44.011,43.997,45.03,44.551,44.865,44.025,44.025,44.419,44.216,44.8,43.586,44.306,44.822,45.787,45.894,45.997,46.012,45.909,45.205
H(0),-382337.19709025184,-380968.23248503904,-430772.077041681,-527270.5885071993,-547418.620356781,-576568.0724646233,-950307.2956738956,-596732.3488410995,-621685.5228703348,-621695.3052384083,-1027001.32596184,-776395.3022352027,-720016.987535195,-595934.3724808452,-865672.4407439315,-625861.1581977761,-622926.0947344969,-589554.7249380478,-651835.0167011478,-562001.0348163642,-651834.037556273,-562004.0805126898,-589552.3844054276,-576568.0724740359,-719290.0614971746,-478716.7911400968,-595945.1564262635,-1027001.4879663492,-575816.587372193,-575050.5180022574,-672202.9682768513,-682277.4974816663,-696850.992413121,-883720.828211022,-706933.4321605918,-744046.1276472049,-774851.4890260058,-721499.0004474904,-1095237.3699388062,-815887.5611379747,-767754.464979728,-796771.2245195017,-766615.5229550826,-741669.9299184277,-766620.7548416662,-770792.7511679868,-990031.2175343492,-741661.668458509,-864949.3584770566,-720028.3986397431,-768576.6509744055,-840213.4117555643,-712455.3099714093,-743309.7311252039,-622830.8695287849,-817135.2047970919,-837285.2712106485,-837806.7152788313,-945462.7939840122,-851865.5965989769,-866431.1747502998,-885110.7920541427,-1202629.1881129604,-1121048.6001509451,-1219630.3706155887,-886375.3915962632,-886581.4596935497,-1073964.0095848944,-935672.3997930652,-1147274.5617394147,-767763.5380166254,-960517.1160124812,-1109957.312937204,-2515245.6458489387,-2564548.075157643,-2613839.8282245784,-2658935.64758534,-2609651.20227377,-1361635.542414634
Dipole Moment,0.0,0.8683,0.0006,0.8845,2.7914,2.0087,1.0287,3.6583,1.9861,1.3842,1.3525,2.157,1.1515,2.6666,1.717,2.0017,2.6971,1.7239,2.1837,3.4834,2.4767,1.6535,4.0149,2.0087,0.0001,2.7427,2.7641,0.6573,0.0005,0.0004,2.7423,1.8993,2.4517,3.3631,1.3786,2.3511,1.1686,2.1966,2.2421,2.7098,0.0011,2.7486,4.5521,0.8064,3.6722,0.0003,2.1456,2.3632,0.001,0.6692,1.0334,2.8704,2.7723,3.4187,0.001,2.5993,2.7466,0.9447,5.1665,2.1898,2.3017,3.6848,1.9159,0.0,2.7365,1.7804,3.0454,2.7375,2.9812,0.0005,0.0001,2.7243,1.8565,2.7465,1.0117,0.0057,0.0463,4.0413,0.0015
